line_id,description,value,unit,origin,funded_by,url,notes
B2,PlanOptica top 10 published compensation shares (sum),44.0,percent of PlanOptica H&W compensation universe,DERIVED,Underlying: plan sponsors filing Form 5500 with DOL/EBSA. Indexer: PlanOptica (for-profit).,https://planoptica.com/welfare/broker,Headline EH&B proxy. Adds WTW US 4.3 + Hub Midwest 4.1 + Aon Consulting 2.8 + Alliant 2.5 + B&B 2.2.
B3,PlanOptica remainder after top 10,56.0,percent of PlanOptica H&W compensation universe,DERIVED,same as B1,https://planoptica.com/welfare/broker,"B3 = 100 − B2. Table shows 43,129 broker names. Long tail, not a handful of doors."
B4,MMA + Mercer published shares (Marsh parent roll-up),12.1,percent of PlanOptica H&W compensation universe,DERIVED,same as B1,https://planoptica.com/welfare/broker,"PlanOptica lists MMA and Mercer separately. Parent roll-up is arithmetic, not a restated ranking."
B5,Named list Marsh+Gallagher+Lockton+WTW+Aon+NFP on PlanOptica shares,32.5,percent of PlanOptica H&W compensation universe,DERIVED,same as B1,https://planoptica.com/welfare/broker,"Uses B4 plus Gallagher 5.9, Lockton 5.8, WTW US 4.3, Aon Consulting 2.8, NFP 1.6. Entity splits understate parents."
C1,Marsh McLennan 2024 GAAP revenue,24458000000,USD,RETRIEVED,Marsh McLennan (issuer 10-K / annual report),https://www.corporate.marsh.com/web-assets/files-for-download/investors/2025/pdf-2024-marsh-mclennan-investors-annual-report.pdf,Global. No US EH&B covered-lives figure.
C2,Mercer share of MMC 2024 revenue (approx.),23,percent of MMC revenue,RETRIEVED,Marsh McLennan (issuer),https://www.corporate.marsh.com/web-assets/files-for-download/investors/2025/pdf-2024-marsh-mclennan-investors-annual-report.pdf,Mercer includes Health + Wealth + Career. Health not broken out. Not lives.
C3,Aon Health Solutions 2024 revenue,3335000000,USD,RETRIEVED,Aon plc (issuer earnings release / 10-K),https://aon.mediaroom.com/2025-01-31-Aon-Reports-Fourth-Quarter-and-Full-Year-2024-Results,"Global. Includes consulting, brokerage, consumer benefits, talent, and NFP. Not US lives."
C4,"WTW Health, Wealth & Career share of 2024 revenue",59,percent of WTW revenue,RETRIEVED,Willis Towers Watson (issuer 10-K),https://www.sec.gov/Archives/edgar/data/1140536/000095017025026278/wtw-20241231.htm,Health & Benefits described; no Health-only revenue and no covered lives.
C5,"Gallagher U.S. share of brokerage + risk-management revenue, 2024",64,percent of AJG brokerage+RM revenue,RETRIEVED,Arthur J. Gallagher & Co. (issuer 10-K),https://www.sec.gov/Archives/edgar/data/354190/000095017025021775/,"Geographic mix, not EH&B share and not lives. No benefits-line revenue breakout."
D1,"U.S. small-group broker fees PMPM, 2024",29.79,USD per member per month,RETRIEVED,"KFF (nonprofit philanthropy, not Kaiser Permanente) analysis of Mark Farrah Associates Health Coverage Portal (commercial MLR database)",https://www.kff.org/health-costs/state-indicator/health-insurance-broker-compensation/,Insurer-reported agent/broker fees + direct-sales costs ÷ member months. Not firm market share.
D2,"U.S. large-group broker fees PMPM, 2024",10.00,USD per member per month,RETRIEVED,same as D1,https://www.kff.org/health-costs/state-indicator/health-insurance-broker-compensation/,Large-group PMPM is about one-third of small-group. Compensation rankings understate jumbo-account lives.
X2,Brokers below BI Top 100 + personal-lines-majority firms,,USD / lives,NOT RETRIEVED,n/a,https://communityprod.blob.core.windows.net/public/top_100_2025_bi.pdf,"A4–A6 denominators are Top 100, not the market. Unknown remainder."
X3,Spectrum-state cut of any concentration figure,,percent,NOT RETRIEVED,n/a,,M2 geography is 'same as M1'. Public rankings are US. No conversion invented.
X4,Welfare plans / small employers that do not file Form 5500 Schedule A as used here,,lives / compensation,NOT RETRIEVED,n/a,https://planoptica.com/freeerisa,ERISA welfare filings miss a large small-employer slice; jumbo consulting fees paid off Schedule A also miss.
