firm,analyst_name,last_public_appearance,appearance_type,latest_public_rating,latest_public_pt_usd,report_status,source,source_who_funds,full_report_locator
Citigroup,Michael Rollins,2026-07-28,earnings_call_q4_2025_plus_note,Buy,180,paywalled_not_obtained,"Q4 2025 call Q&A (30 Jan 2026). PT $190->$180 Buy: MarketBeat 28 Jul 2026.","MarketBeat/Benzinga. Call appearance is independent confirmation.","Citi Research portal / Bloomberg — 28 Jul 2026 Buy PT $180; no PDF in repo"
Raymond James,Frank Louthan,2026-01-30,earnings_call_q4_2025,Market Perform,,paywalled_not_obtained,"Q4 2025 call Q&A (30 Jan 2026). Last named rating on MarketBeat: 19 May 2025 Underperform -> Market Perform.","Call: public transcript. 2025 rating: MarketBeat/Benzinga.","Raymond James research portal / Bloomberg; no PDF in repo"
Sanford C. Bernstein,Laurent Yoon,2026-07-27,aggregator_note_2026,Market Perform,150,paywalled_not_obtained,MarketBeat/PriceTargets 27 Jul 2026 reiterated Market Perform PT $150. Not on the last three CHTR earnings-call Q&A rosters retrieved.,"MarketBeat/Benzinga aggregator (ad/subscription-funded). Not a call confirmation.","Bernstein / AllianceBernstein research portal / Bloomberg; no PDF in repo"
TD Cowen,Gregory Williams,2026-07-27,aggregator_note_2026,Buy,380,paywalled_not_obtained,"MarketBeat 27 Jul 2026 Lower Target Buy $413->$380. Same named analyst appears on Williams Trading (2 Feb 2026 PT $437) — likely a dual/sales-trading overlay; not two separate people.","MarketBeat/Benzinga aggregator.","TD Cowen / Williams Trading portals / Bloomberg — 27 Jul 2026 Buy PT $380; no PDF in repo"
Royal Bank of Canada,Jonathan Atkin,2026-07-27,aggregator_note_2026,Sector Perform,150,paywalled_not_obtained,MarketBeat 27 Jul 2026 Lower Target Sector Perform $160->$150.,"MarketBeat/Benzinga aggregator.","RBC Capital Markets research portal / Bloomberg; no PDF in repo"
Barclays,Kannan Venkateshwar,2026-07-27,aggregator_note_2026,Underweight,115,paywalled_not_obtained,MarketBeat 27 Jul 2026 Lower Target Underweight $130->$115.,"MarketBeat/Benzinga aggregator.","Barclays research portal / Bloomberg; no PDF in repo"
Benchmark,Matthew Harrigan,2026-07-22,aggregator_note_2026,Buy,,paywalled_not_obtained,MarketBeat 22 Jul 2026 reiterated Buy (PT not printed on that row).,"MarketBeat/Benzinga aggregator.","Benchmark Company research portal / Bloomberg; no PDF in repo"
BNP Paribas Exane,Sam McHugh,2026-07-14,aggregator_note_2026,Underperform,120,paywalled_not_obtained,MarketBeat 14 Jul 2026 Lower Target Underperform $150->$120.,"MarketBeat/Benzinga aggregator.","BNP Paribas Exane research portal / Bloomberg; no PDF in repo"
Goldman Sachs,James Schneider,2026-07-02,aggregator_note_2026,Sell,125,paywalled_not_obtained,MarketBeat 2 Jul 2026 Lower Target Sell $185->$125 named James Schneider. Q4 2025 call slot was Michael Ng — treat as possible coverage change not as two simultaneous GS leads.,"MarketBeat/Benzinga aggregator.","Goldman Sachs research portal / Bloomberg — 2 Jul 2026 Sell PT $125; no PDF in repo"
Deutsche Bank,Bryan Kraft,2026-04-27,aggregator_note_2026,Hold,215,paywalled_not_obtained,"PT $235->$215 Hold: MarketWatch/MT 27 Apr 2026 (in-repo headline on PrimarySources/CHTR-Q1-2026-Trending-Schedule.md). Named Bryan Kraft on PriceTargets.com 3 Feb 2026 Hold $275->$235.","MT/Marketscreener headline on company trending schedule; PriceTargets.com aggregator. Not the DB PDF.","Deutsche Bank research portal / Bloomberg — 27 Apr 2026 Hold PT $215; no PDF in repo"
KeyCorp,Brandon Nispel,2026-01-26,aggregator_note_2026,Sector Weight,,paywalled_not_obtained,MarketBeat 26 Jan 2026 reiterated Sector Weight.,"MarketBeat/Benzinga aggregator.","KeyBanc Capital Markets research portal / Bloomberg; no PDF in repo"
Williams Trading,Gregory Williams,2026-02-02,aggregator_note_2026,,437,paywalled_not_obtained,MarketBeat/PriceTargets 2 Feb 2026 set PT $437 named Gregory Williams. Same person as TD Cowen row above.,"MarketBeat/Benzinga aggregator.","Williams Trading / Bloomberg; no PDF in repo"
Oppenheimer,not named on public aggregator row,2025-11-04,aggregator_note_unnamed,Market Perform,,paywalled_not_obtained,MarketBeat 4 Nov 2025 Outperform -> Market Perform. Analyst name not printed on the public row.,"MarketBeat/Benzinga aggregator.","Oppenheimer research portal / Bloomberg; no PDF in repo"
